"filename", "language", "PHP", "JavaScript", "XML", "CSS", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\commerce-app\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 7, 30
"c:\xampp\htdocs\commerce-app\controllers\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\commerce-app\controllers\controller_login.php", "PHP", 22, 0, 0, 0, 0, 2, 3, 27
"c:\xampp\htdocs\commerce-app\controllers\controller_payments.php", "PHP", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\commerce-app\controllers\controller_products.php", "PHP", 67, 0, 0, 0, 0, 8, 15, 90
"c:\xampp\htdocs\commerce-app\controllers\controller_purchases.php", "PHP", 33, 0, 0, 0, 0, 6, 10, 49
"c:\xampp\htdocs\commerce-app\controllers\controller_signoff.php", "PHP", 5, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\commerce-app\controllers\controller_signup.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 22
"c:\xampp\htdocs\commerce-app\controllers\controller_users.php", "PHP", 25, 0, 0, 0, 0, 0, 7, 32
"c:\xampp\htdocs\commerce-app\models\connection.php", "PHP", 4, 0, 0, 0, 0, 2, 2, 8
"c:\xampp\htdocs\commerce-app\views\about.php", "PHP", 109, 0, 0, 0, 0, 0, 10, 119
"c:\xampp\htdocs\commerce-app\views\account.php", "PHP", 78, 0, 0, 0, 0, 1, 11, 90
"c:\xampp\htdocs\commerce-app\views\css\person.svg", "XML", 0, 0, 14, 0, 0, 0, 1, 15
"c:\xampp\htdocs\commerce-app\views\css\styles.css", "CSS", 0, 0, 0, 694, 0, 14, 53, 761
"c:\xampp\htdocs\commerce-app\views\css\user.svg", "XML", 0, 0, 11, 0, 0, 0, 1, 12
"c:\xampp\htdocs\commerce-app\views\index.php", "PHP", 137, 0, 0, 0, 0, 1, 27, 165
"c:\xampp\htdocs\commerce-app\views\login.php", "PHP", 61, 0, 0, 0, 0, 3, 18, 82
"c:\xampp\htdocs\commerce-app\views\payments.php", "PHP", 183, 0, 0, 0, 0, 5, 28, 216
"c:\xampp\htdocs\commerce-app\views\products.php", "PHP", 202, 0, 0, 0, 0, 5, 27, 234
"c:\xampp\htdocs\commerce-app\views\purchases.php", "PHP", 183, 0, 0, 0, 0, 5, 28, 216
"c:\xampp\htdocs\commerce-app\views\purchases_client.php", "PHP", 153, 0, 0, 0, 0, 5, 24, 182
"c:\xampp\htdocs\commerce-app\views\script.js", "JavaScript", 0, 26, 0, 0, 0, 6, 17, 49
"c:\xampp\htdocs\commerce-app\views\signup.php", "PHP", 78, 0, 0, 0, 0, 3, 21, 102
"c:\xampp\htdocs\commerce-app\views\users.php", "PHP", 205, 0, 0, 0, 0, 5, 27, 237
"Total", "-", 1567, 26, 25, 694, 24, 71, 339, 2746
