"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\commerce-app\controllers\controller_payments.php", "PHP", 9, 0, 0, 2, 11
"c:\xampp\htdocs\commerce-app\controllers\controller_purchases.php", "PHP", 2, 0, 0, 3, 5
"c:\xampp\htdocs\commerce-app\views\about.php", "PHP", 3, 0, 0, 0, 3
"c:\xampp\htdocs\commerce-app\views\css\styles.css", "CSS", 0, 20, 0, 3, 23
"c:\xampp\htdocs\commerce-app\views\developer_tasks.php", "PHP", 0, 0, -1, 0, -1
"c:\xampp\htdocs\commerce-app\views\index.php", "PHP", 2, 0, 0, 0, 2
"c:\xampp\htdocs\commerce-app\views\payments.php", "PHP", 2, 0, 0, 1, 3
"c:\xampp\htdocs\commerce-app\views\purchases.php", "PHP", 9, 0, 0, 1, 10
"c:\xampp\htdocs\commerce-app\views\purchases_client.php", "PHP", -4, 0, 1, 2, -1
"Total", "-", 23, 20, 0, 12, 55
