"filename", "language", "PHP", "JavaScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\commerce-app\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 7, 30
"c:\xampp\htdocs\commerce-app\controllers\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\commerce-app\controllers\controller_html.php", "PHP", 58, 0, 0, 0, 0, 0, 1, 59
"c:\xampp\htdocs\commerce-app\controllers\controller_login.php", "PHP", 23, 0, 0, 0, 0, 2, 1, 26
"c:\xampp\htdocs\commerce-app\controllers\controller_payments.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 27
"c:\xampp\htdocs\commerce-app\controllers\controller_products.php", "PHP", 55, 0, 0, 0, 0, 0, 1, 56
"c:\xampp\htdocs\commerce-app\controllers\controller_purchases.php", "PHP", 69, 0, 0, 0, 0, 0, 2, 71
"c:\xampp\htdocs\commerce-app\controllers\controller_signoff.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\commerce-app\controllers\controller_signup.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 22
"c:\xampp\htdocs\commerce-app\controllers\controller_users.php", "PHP", 59, 0, 0, 0, 0, 0, 1, 60
"c:\xampp\htdocs\commerce-app\controllers\functions_controllers.php", "PHP", 14, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\commerce-app\models\connection.php", "PHP", 4, 0, 0, 0, 0, 2, 2, 8
"c:\xampp\htdocs\commerce-app\views\about.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 57
"c:\xampp\htdocs\commerce-app\views\account.php", "PHP", 106, 0, 0, 0, 0, 1, 18, 125
"c:\xampp\htdocs\commerce-app\views\css\Group 27.svg", "XML", 0, 0, 14, 0, 0, 0, 1, 15
"c:\xampp\htdocs\commerce-app\views\css\person.svg", "XML", 0, 0, 14, 0, 0, 0, 1, 15
"c:\xampp\htdocs\commerce-app\views\css\styles.css", "CSS", 0, 0, 0, 0, 639, 13, 5, 657
"c:\xampp\htdocs\commerce-app\views\css\user.svg", "XML", 0, 0, 11, 0, 0, 0, 1, 12
"c:\xampp\htdocs\commerce-app\views\developer_tasks.php", "PHP", 116, 0, 0, 0, 0, 3, 9, 128
"c:\xampp\htdocs\commerce-app\views\development_tasks.php", "PHP", 113, 0, 0, 0, 0, 0, 3, 116
"c:\xampp\htdocs\commerce-app\views\index.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 81
"c:\xampp\htdocs\commerce-app\views\login.php", "PHP", 61, 0, 0, 0, 0, 3, 18, 82
"c:\xampp\htdocs\commerce-app\views\payments.php", "PHP", 163, 0, 0, 0, 0, 6, 10, 179
"c:\xampp\htdocs\commerce-app\views\products.php", "PHP", 130, 0, 0, 0, 0, 5, 7, 142
"c:\xampp\htdocs\commerce-app\views\purchases.php", "PHP", 124, 0, 0, 0, 0, 3, 4, 131
"c:\xampp\htdocs\commerce-app\views\purchases_client.php", "PHP", 93, 0, 0, 0, 0, 6, 3, 102
"c:\xampp\htdocs\commerce-app\views\script.js", "JavaScript", 0, 59, 0, 0, 0, 9, 26, 94
"c:\xampp\htdocs\commerce-app\views\signup.php", "PHP", 78, 0, 0, 0, 0, 3, 21, 102
"c:\xampp\htdocs\commerce-app\views\users.php", "PHP", 167, 0, 0, 0, 0, 2, 2, 171
"Total", "-", 1625, 59, 39, 24, 639, 58, 145, 2589
